"target_label","partner_type","mean","sd","sem","n"
"Schwein","same",0.875,0.336010752516124,0.0593988704139364,32
"Schwein","different",0.764705882352941,0.430561545202046,0.0738406958189233,34
"Fenster","same",0.647058823529412,0.485071250072666,0.0831890330807703,34
"Fenster","different",0.705882352941177,0.46249729006288,0.0793176308780285,34
"Kreisel","same",0.558823529411765,0.503994737261378,0.0864343843595969,34
"Kreisel","different",0.323529411764706,0.474858079933817,0.081437488852138,34
"Kamin","same",0.588235294117647,0.499554168435642,0.0856728330887552,34
"Kamin","different",0.352941176470588,0.485071250072666,0.0831890330807703,34
"Fliege","same",0.848484848484849,0.36410954062721,0.0633833353434906,33
"Fliege","different",0.818181818181818,0.39167472590032,0.0681818181818182,33
"Flasche","same",0.676470588235294,0.474858079933817,0.081437488852138,34
"Flasche","different",0.545454545454545,0.505649896847432,0.0880223487774413,33
"Blatt","same",0.617647058823529,0.493270218056382,0.0845951444896063,34
"Blatt","different",0.424242424242424,0.501890365910663,0.0873678984444757,33
"Ruderer","same",0.911764705882353,0.287902241281237,0.0493748270390893,34
"Ruderer","different",1,0,0,30
"Stuhl","same",0.882352941176471,0.327034970083864,0.0560860346615054,34
"Stuhl","different",0.823529411764706,0.386952994975947,0.0663618911550313,34
"Hang","same",0.352941176470588,0.485071250072666,0.0831890330807703,34
"Hang","different",0.411764705882353,0.499554168435642,0.0856728330887552,34
"Brunnen","same",0.823529411764706,0.386952994975947,0.0663618911550313,34
"Brunnen","different",0.875,0.336010752516124,0.0593988704139364,32
"Drachen","same",0.545454545454545,0.505649896847432,0.0880223487774413,33
"Drachen","different",0.333333333333333,0.478713553878169,0.0833333333333333,33
"Person","same",0.382352941176471,0.493270218056382,0.0845951444896063,34
"Person","different",0.558823529411765,0.503994737261378,0.0864343843595969,34
"Wolf","same",0.617647058823529,0.493270218056382,0.0845951444896063,34
"Wolf","different",0.393939393939394,0.496197663448873,0.0863769261438741,33
"Baum","same",0.794117647058823,0.410425630121905,0.0703874148721293,34
"Baum","different",0.852941176470588,0.359490627953571,0.0616521340660295,34
"Hut","same",0.911764705882353,0.287902241281237,0.0493748270390893,34
"Hut","different",0.823529411764706,0.386952994975947,0.0663618911550313,34
"Rakete","same",0.96969696969697,0.174077655955698,0.0303030303030303,33
"Rakete","different",0.941176470588235,0.238832573610613,0.0409594484601642,34
"Roboter","same",0.939393939393939,0.24230584229878,0.0421800330517426,33
"Roboter","different",0.878787878787879,0.331433982639808,0.0576952508019993,33
"Schloss","same",0.794117647058823,0.410425630121905,0.0703874148721293,34
"Schloss","different",0.875,0.336010752516124,0.0593988704139364,32
"kimono","same",0.911764705882353,0.287902241281237,0.0493748270390893,34
"kimono","different",0.764705882352941,0.430561545202046,0.0738406958189233,34
"Axt","same",0.794117647058823,0.410425630121905,0.0703874148721293,34
"Axt","different",0.764705882352941,0.430561545202046,0.0738406958189233,34
"Fuchs","same",0.823529411764706,0.386952994975947,0.0663618911550313,34
"Fuchs","different",0.909090909090909,0.291937104060571,0.0508197267613589,33
"Geist","same",0.911764705882353,0.287902241281237,0.0493748270390893,34
"Geist","different",0.705882352941177,0.46249729006288,0.0793176308780285,34
"Grill","same",0.588235294117647,0.499554168435642,0.0856728330887552,34
"Grill","different",0.852941176470588,0.359490627953571,0.0616521340660295,34
"Magnet","same",1,0,0,32
"Magnet","different",0.764705882352941,0.430561545202046,0.0738406958189233,34
"Flamme","same",0.735294117647059,0.447811075519899,0.0767989658628079,34
"Flamme","different",0.529411764705882,0.506640397104899,0.086888111279529,34
"Parfüm","same",0.909090909090909,0.291937104060571,0.0508197267613589,33
"Parfüm","different",0.852941176470588,0.359490627953571,0.0616521340660295,34
"Zünder","same",0.787878787878788,0.415148750267281,0.0722681213194656,33
"Zünder","different",0.794117647058823,0.410425630121905,0.0703874148721293,34
"Tür","same",0.882352941176471,0.327034970083864,0.0560860346615054,34
"Tür","different",0.818181818181818,0.39167472590032,0.0681818181818182,33
"Säge","same",0.764705882352941,0.430561545202046,0.0738406958189233,34
"Säge","different",0.878787878787879,0.331433982639808,0.0576952508019993,33
"Fisch","same",0.676470588235294,0.474858079933817,0.081437488852138,34
"Fisch","different",0.588235294117647,0.499554168435642,0.0856728330887552,34
"Frau","same",0.794117647058823,0.410425630121905,0.0703874148721293,34
"Frau","different",0.764705882352941,0.430561545202046,0.0738406958189233,34
"Huhn","same",0.882352941176471,0.327034970083864,0.0560860346615054,34
"Huhn","different",0.823529411764706,0.386952994975947,0.0663618911550313,34
"Pyramide","same",0.882352941176471,0.327034970083864,0.0560860346615054,34
"Pyramide","different",0.764705882352941,0.430561545202046,0.0738406958189233,34
"Sessel","same",0.647058823529412,0.485071250072666,0.0831890330807703,34
"Sessel","different",0.878787878787879,0.331433982639808,0.0576952508019993,33
"Engel","same",1,0,0,33
"Engel","different",0.787878787878788,0.415148750267281,0.0722681213194656,33
"Tanne","same",0.666666666666667,0.478713553878169,0.0833333333333333,33
"Tanne","different",0.705882352941177,0.46249729006288,0.0793176308780285,34
"Tasse","same",0.878787878787879,0.331433982639808,0.0576952508019993,33
"Tasse","different",0.588235294117647,0.499554168435642,0.0856728330887552,34
"Baby","same",0.764705882352941,0.430561545202046,0.0738406958189233,34
"Baby","different",0.647058823529412,0.485071250072666,0.0831890330807703,34
"Medaille","same",0.882352941176471,0.327034970083864,0.0560860346615054,34
"Medaille","different",0.823529411764706,0.386952994975947,0.0663618911550313,34
"Raute","same",0.705882352941177,0.46249729006288,0.0793176308780285,34
"Raute","different",0.454545454545455,0.505649896847432,0.0880223487774413,33
"Stern","same",0.794117647058823,0.410425630121905,0.0703874148721293,34
"Stern","different",0.911764705882353,0.287902241281237,0.0493748270390893,34
"Rubin","same",0.911764705882353,0.287902241281237,0.0493748270390893,34
"Rubin","different",0.558823529411765,0.503994737261378,0.0864343843595969,34
"Mauer","same",0.647058823529412,0.485071250072666,0.0831890330807703,34
"Mauer","different",0.617647058823529,0.493270218056382,0.0845951444896063,34
"Treppe","same",0.676470588235294,0.474858079933817,0.081437488852138,34
"Treppe","different",0.882352941176471,0.327034970083864,0.0560860346615054,34
"Klinge","same",0.558823529411765,0.503994737261378,0.0864343843595969,34
"Klinge","different",0.588235294117647,0.499554168435642,0.0856728330887552,34
"Kerze","same",0.823529411764706,0.386952994975947,0.0663618911550313,34
"Kerze","different",0.705882352941177,0.46249729006288,0.0793176308780285,34
"Sturz","same",0.545454545454545,0.505649896847432,0.0880223487774413,33
"Sturz","different",0.65625,0.482558704434814,0.085305133056613,32
"Trichter","same",0.823529411764706,0.386952994975947,0.0663618911550313,34
"Trichter","different",0.909090909090909,0.291937104060571,0.0508197267613589,33
"Auge","same",0.794117647058823,0.410425630121905,0.0703874148721293,34
"Auge","different",0.696969696969697,0.466693722159438,0.0812409492027546,33
"Trophäe","same",0.787878787878788,0.415148750267281,0.0722681213194656,33
"Trophäe","different",0.588235294117647,0.499554168435642,0.0856728330887552,34
"Tänzer","same",0.870967741935484,0.340777100548239,0.0612053740677751,31
"Tänzer","different",0.793103448275862,0.412250820394885,0.0765530555069953,29
"Schwangere","same",0.939393939393939,0.24230584229878,0.0421800330517426,33
"Schwangere","different",0.941176470588235,0.238832573610613,0.0409594484601642,34
"Schlange","same",0.794117647058823,0.410425630121905,0.0703874148721293,34
"Schlange","different",0.676470588235294,0.474858079933817,0.081437488852138,34
"Gesicht","same",0.757575757575758,0.435194139889245,0.0757575757575758,33
"Gesicht","different",0.84375,0.368902032628474,0.0652132822162737,32
"Stein","same",0.794117647058823,0.410425630121905,0.0703874148721293,34
"Stein","different",0.625,0.491869376837965,0.0869510429550315,32
