"partner_type","block","error","mean_bSubj","sd_bSubj","sem_bSubj","n_bSubj"
"same","1","unrelated",3591.50797069597,2122.73166677677,424.546333355354,25
"same","1","semantically_related",2509.55333333333,1077.36649676462,240.906472344651,20
"same","1","compound",3104.9,2308.74355440356,1032.50150605217,5
"same","2","unrelated",2048.06884525731,712.193099877517,139.672558220061,26
"same","2","semantically_related",1603.20175438596,1068.22561509722,245.067763426861,19
"same","2","compound",1904.83333333333,708.464007554371,236.15466918479,9
"different","1","unrelated",3666.56141215107,1633.34467575129,303.304491923323,29
"different","1","semantically_related",2576.17391304348,912.94730904172,190.362673209817,23
"different","1","compound",2618.59090909091,1212.65175994969,365.628262647024,11
"different","2","unrelated",2230.60454000365,733.593681242624,138.636174566884,28
"different","2","semantically_related",1803.42777777778,653.799895513597,133.456344824439,24
"different","2","compound",1716.0303030303,584.40671633804,176.205254823358,11
