"subjID","partner_type","block","error","mean","sd","sem","n"
"1","same","1","unrelated",3263.75,2026.02062756857,1013.01031378428,4
"1","same","1","semantically_related",1332,190.918830920368,135,2
"1","same","2","unrelated",2081.33333333333,1152.99624168222,665.682690509859,3
"1","same","2","semantically_related",1077.5,79.9030662740799,56.5,2
"1","different","1","unrelated",3652.3,3545.95212256956,1121.32851812284,10
"1","different","1","semantically_related",3210.66666666667,3592.53063081351,2074.14852677216,3
"1","different","2","unrelated",1931.69230769231,1895.40032643131,525.689466498404,13
"1","different","2","semantically_related",1125.66666666667,237.97548893391,137.395212596526,3
"2","same","1","semantically_related",4357,4285.06709399048,3030,2
"2","same","2","unrelated",2541,471.087040789704,271.98222981168,3
"2","same","2","semantically_related",2054.5,126.572113832392,89.5,2
"2","different","1","unrelated",2820,162.634559672906,115,2
"2","different","1","semantically_related",3941,3240.95675174271,1620.47837587136,4
"2","different","2","unrelated",1354.5,277.892965006313,196.5,2
"2","different","2","semantically_related",2065.75,1074.54001786811,537.270008934055,4
"2","different","2","compound",1596,NA,NA,1
"3","same","1","unrelated",1403,107.480230740355,76,2
"3","same","1","semantically_related",5104,4487.29963340983,3173,2
"3","same","2","unrelated",981,270.114790413261,191,2
"3","same","2","semantically_related",1224,NA,NA,1
"3","same","2","compound",1589,NA,NA,1
"3","different","1","unrelated",7985,NA,NA,1
"3","different","1","compound",994,NA,NA,1
"3","different","2","unrelated",1868.5,467.397582364308,330.5,2
"3","different","2","semantically_related",949,NA,NA,1
"4","same","1","compound",7160,NA,NA,1
"4","same","2","compound",1148,NA,NA,1
"4","different","1","unrelated",3258.33333333333,2965.78258362499,1712.29537301379,3
"4","different","1","compound",2515,NA,NA,1
"4","different","2","unrelated",1168.5,53.0330085889911,37.5,2
"4","different","2","compound",1277,NA,NA,1
"5","same","1","unrelated",5696,4271.24794410252,2466.00615030323,3
"5","same","1","semantically_related",3442,NA,NA,1
"5","same","1","compound",2425.5,594.676802977886,420.5,2
"5","same","2","unrelated",2342.33333333333,1441.144105679,832.044937354815,3
"5","same","2","semantically_related",1282,NA,NA,1
"5","same","2","compound",3019.5,1965.04974491742,1389.5,2
"5","different","1","unrelated",6832.5,5755.96718829488,1661.60460280435,12
"5","different","1","semantically_related",3470,776.403245742829,549,2
"5","different","1","compound",3958.5,1074.09520062237,759.5,2
"5","different","2","unrelated",2510.3,1259.86966257096,398.405768867202,10
"5","different","2","semantically_related",1850.5,813.879905145716,575.5,2
"5","different","2","compound",2620,1670.18621716263,1181,2
"6","same","1","unrelated",7310.8,7914.59412730685,3539.51409659575,5
"6","same","1","semantically_related",2767.5,1980.60609410352,1400.5,2
"6","same","2","unrelated",1788.66666666667,1133.65794370848,654.517718969047,3
"6","same","2","semantically_related",5854.5,5523.21106784812,3905.5,2
"6","same","2","compound",1710,NA,NA,1
"6","different","1","unrelated",5450.75,5371.27685671001,1899.03314450501,8
"6","different","1","semantically_related",1134,NA,NA,1
"6","different","2","unrelated",1810.6,419.457745190144,187.58720638679,5
"6","different","2","semantically_related",1724,NA,NA,1
"7","same","1","unrelated",2361.6,1203.96793977248,538.43083121233,5
"7","same","1","semantically_related",1375,316.965297785105,183,3
"7","same","2","unrelated",2805,624.349795120225,312.174897560112,4
"7","different","1","unrelated",3060.33333333333,737.201691081439,425.623594792916,3
"7","different","1","semantically_related",2081,NA,NA,1
"7","different","1","compound",2088.5,1216.93077042205,860.5,2
"7","different","2","unrelated",2924,2139.70511987049,1513,2
"8","same","1","unrelated",2658.5,1892.80136305953,946.400681529763,4
"8","same","2","unrelated",2425.66666666667,703.22566316463,406.007525929152,3
"8","same","2","compound",1901,NA,NA,1
"8","different","1","unrelated",3305.875,1197.50412316618,423.381642994828,8
"8","different","1","semantically_related",4051,NA,NA,1
"8","different","1","compound",1307.5,514.06662992262,363.5,2
"8","different","2","unrelated",2586,2037.71909524132,644.383357258015,10
"8","different","2","semantically_related",1798,NA,NA,1
"8","different","2","compound",1089.33333333333,116.8431997736,67.459452842265,3
"9","same","1","unrelated",2384.33333333333,1242.84525719549,717.557043802868,3
"9","same","1","semantically_related",1672.33333333333,454.647482488723,262.49084640125,3
"9","same","2","unrelated",1646.66666666667,469.724742091933,271.195706291805,3
"9","same","2","semantically_related",1437.66666666667,174.333970680798,100.651764901455,3
"9","different","1","unrelated",1662,424.886651551525,160.592059342327,7
"9","different","1","semantically_related",2163.33333333333,787.757746180047,321.60075317767,6
"9","different","2","unrelated",1790.75,353.908062449369,176.954031224685,4
"9","different","2","semantically_related",2067.4,791.553409442471,353.993446267018,5
"10","same","1","unrelated",3224.93333333333,1179.6169757696,304.575793470614,15
"10","same","1","semantically_related",1371,1.4142135623731,1,2
"10","same","2","unrelated",2168.90909090909,995.823724817345,300.252150232115,11
"10","same","2","semantically_related",1951,NA,NA,1
"10","different","1","unrelated",3773.5,3197.19444200693,1305.24916522989,6
"10","different","1","semantically_related",1290,NA,NA,1
"10","different","1","compound",3869,NA,NA,1
"10","different","2","unrelated",3742.42857142857,3821.34094514578,1444.33111652061,7
"10","different","2","semantically_related",1498,NA,NA,1
"10","different","2","compound",1260,NA,NA,1
"11","same","1","unrelated",1602.33333333333,1017.44303689854,587.421011238485,3
"11","same","1","semantically_related",2961.5,1792.5156903079,1267.5,2
"11","same","2","unrelated",1064,245.566691552417,141.777995471794,3
"11","different","1","unrelated",7009,708.520994748921,501,2
"11","different","1","semantically_related",2686,NA,NA,1
"11","different","2","unrelated",3356.66666666667,1963.36199752703,1133.54757778891,3
"11","different","2","semantically_related",1244,NA,NA,1
"12","same","1","semantically_related",3565,NA,NA,1
"12","same","2","semantically_related",1224,NA,NA,1
"12","different","1","unrelated",2614.5,181.726442764943,128.5,2
"12","different","2","unrelated",1420.5,106.773123959169,75.5,2
"12","different","2","semantically_related",1462,NA,NA,1
"13","same","1","unrelated",2206,457.164084328592,263.943807150941,3
"13","same","1","semantically_related",3155,NA,NA,1
"13","same","1","compound",1368,NA,NA,1
"13","same","2","unrelated",3430.33333333333,3418.73636499414,1973.80836061773,3
"13","same","2","semantically_related",1361,223.445742854949,158,2
"13","different","1","unrelated",2830,1335.65367891531,445.21789297177,9
"13","different","1","semantically_related",3548,1361.77567903087,786.221554864361,3
"13","different","2","unrelated",2489.2,1217.79973723104,544.616599085999,5
"13","different","2","semantically_related",1509,NA,NA,1
"14","same","1","unrelated",6233.66666666667,3311.21734915323,1911.73222787898,3
"14","same","2","unrelated",1767,494.974746830583,350,2
"14","different","1","unrelated",4631.33333333333,2114.82773136096,1220.99635999093,3
"14","different","1","semantically_related",2472,574.170706323477,406,2
"14","different","1","compound",3421,NA,NA,1
"14","different","2","unrelated",2175.5,724.119925610853,362.059962805426,4
"14","different","2","semantically_related",1677,637.810316630266,451,2
"14","different","2","compound",1849,NA,NA,1
"16","same","1","unrelated",3408.14285714286,2402.06240749982,907.894251985943,7
"16","same","1","semantically_related",1967.6,819.695248247786,366.578859183123,5
"16","same","2","unrelated",2221.3,1493.59417736769,472.315950044741,10
"16","same","2","semantically_related",1263,183.847763108502,130,2
"16","different","1","unrelated",6578.125,5492.78187227825,1941.99165473325,8
"16","different","1","semantically_related",1830,NA,NA,1
"16","different","1","compound",1885,NA,NA,1
"16","different","2","unrelated",3032.90909090909,2528.94034941694,762.504205109662,11
"16","different","2","semantically_related",3057.5,2484.06612230834,1756.5,2
"16","different","2","compound",2053,NA,NA,1
"17","same","1","unrelated",3739.6,2245.83754977959,1004.36908554575,5
"17","same","1","semantically_related",1216,NA,NA,1
"17","same","2","unrelated",2693.75,1564.62271810172,782.311359050858,4
"17","different","1","unrelated",3002.8,2739.86709531685,1225.30581488867,5
"17","different","1","semantically_related",2136,NA,NA,1
"17","different","2","unrelated",2958.14285714286,1919.28141314846,725.420187877062,7
"17","different","2","semantically_related",1979,NA,NA,1
"18","same","1","unrelated",4570,766.05287023808,442.280830845441,3
"18","same","1","semantically_related",2353.33333333333,1204.00055370973,695.13004378877,3
"18","same","2","unrelated",2081.8,1539.11523285295,688.313257172924,5
"18","same","2","semantically_related",1319,NA,NA,1
"18","same","2","compound",3150,NA,NA,1
"18","different","1","unrelated",4035.71428571429,1698.67975344439,642.040597822054,7
"18","different","1","semantically_related",3511,2565.38340214479,1814,2
"18","different","1","compound",4361,NA,NA,1
"18","different","2","unrelated",1680.66666666667,507.344327519946,207.122454386556,6
"18","different","2","semantically_related",2340.5,820.950972957582,580.5,2
"18","different","2","compound",2671,NA,NA,1
"19","same","1","unrelated",6534.25,8084.26639042953,2858.21979279561,8
"19","same","2","unrelated",2852,1725.69242141621,652.250426636594,7
"19","same","2","semantically_related",1092,NA,NA,1
"19","different","1","unrelated",3674,1590.12976409684,795.064882048419,4
"19","different","1","semantically_related",2346,NA,NA,1
"19","different","1","compound",3235,NA,NA,1
"19","different","2","unrelated",2496,NA,NA,1
"19","different","2","semantically_related",1933.25,793.133185536956,396.566592768478,4
"19","different","2","compound",1491,NA,NA,1
"20","same","1","unrelated",4707,3674.59920716986,1837.29960358493,4
"20","same","2","unrelated",3541.66666666667,2265.25209781752,924.785296403681,6
"20","different","1","unrelated",4329.6,3973.1151883629,1776.83112872327,5
"20","different","1","semantically_related",4106,NA,NA,1
"20","different","2","unrelated",1814.6,873.109271511877,390.466336577175,5
"21","same","1","unrelated",10091.5,11970.6106987071,8464.5,2
"21","same","1","semantically_related",1483,NA,NA,1
"21","same","1","compound",2453,NA,NA,1
"21","same","2","unrelated",2593.66666666667,1844.85699536125,1065.12868288818,3
"21","same","2","semantically_related",1474,NA,NA,1
"21","same","2","compound",1692,NA,NA,1
"21","different","1","unrelated",3596,1922.76094891348,726.735328778805,7
"21","different","2","unrelated",4111.81818181818,2244.84127804982,676.845112108467,11
"21","different","2","semantically_related",3268.5,2515.17882068055,1778.5,2
"23","same","1","semantically_related",2978,445.384103892359,257.142632275034,3
"23","same","2","semantically_related",1759,422.849855149555,299,2
"23","same","2","compound",1263,NA,NA,1
"23","different","1","unrelated",2289.33333333333,706.342928989406,407.807280192222,3
"23","different","1","semantically_related",1580,217.788888605457,154,2
"23","different","2","unrelated",1836.66666666667,635.53861671289,366.928391439589,3
"24","same","1","unrelated",1836.5,525.380338421605,371.5,2
"24","same","1","semantically_related",2606,NA,NA,1
"24","same","2","unrelated",972.5,12.0208152801713,8.5,2
"24","same","2","semantically_related",1123,NA,NA,1
"24","different","1","unrelated",2192.25,553.422532970966,195.664412962603,8
"24","different","1","semantically_related",3560,NA,NA,1
"24","different","2","unrelated",2718,2178.03879671598,726.01293223866,9
"24","different","2","semantically_related",1487,NA,NA,1
"25","same","1","unrelated",2578.92307692308,1309.13555839585,363.088875563801,13
"25","same","1","semantically_related",1570.8,299.109010228712,133.765615910816,5
"25","same","2","unrelated",1575.53846153846,452.447532019757,125.48636739649,13
"25","same","2","semantically_related",1106.5,239.70919882224,169.5,2
"25","different","1","unrelated",2582.83333333333,1644.38603260987,474.693359289484,12
"25","different","1","semantically_related",2212,NA,NA,1
"25","different","2","unrelated",1798.33333333333,1015.64697994864,293.192028637488,12
"25","different","2","semantically_related",1922.5,951.058620695906,672.5,2
"26","same","1","unrelated",3024.5,307.591449816148,217.5,2
"26","same","1","semantically_related",2006,NA,NA,1
"26","same","2","unrelated",2479.5,1011.86980387795,715.5,2
"26","same","2","semantically_related",1207,NA,NA,1
"26","different","1","unrelated",1972,NA,NA,1
"26","different","1","semantically_related",2468.5,1214.1023432973,858.5,2
"26","different","2","semantically_related",3361.5,2700.44079735142,1909.5,2
"26","different","2","compound",2028,NA,NA,1
"29","same","1","unrelated",2534.66666666667,720.252964820926,415.838243123987,3
"29","same","2","unrelated",1202.5,217.08178182427,153.5,2
"29","different","1","unrelated",2223,827.732703577325,292.647703854701,8
"29","different","1","semantically_related",1619.5,713.470742217226,504.5,2
"29","different","2","unrelated",1551.875,599.868423072927,212.085514887274,8
"29","different","2","semantically_related",1272,NA,NA,1
"30","same","1","unrelated",1555.3,680.495089377335,215.191441899223,10
"30","same","2","unrelated",1303.63636363636,493.241781021696,148.717992597782,11
