"","error","count_mean","count_sd","perc_mean","perc_sd"
"1","correct",82.9666666666667,13.1686234541869,74.0773809523809,11.7576995126669
"2","4",20.3333333333333,11.4057859888299,18.1547619047619,10.1837374900267
"3","2",6,3.70185138865726,5.35714285714286,3.30522445415827
"4","9",2,NA,1.78571428571429,NA
"5","1",2.36842105263158,1.83213677060388,2.11466165413534,1.6358364023249
"6","8",1.85714285714286,1.23145585242976,1.65816326530612,1.09951415395515
"7","6",1.2,0.447213595499958,1.07142857142857,0.399297853124962
"8","5",1.4,0.699205898780101,1.25,0.624290981053662
"9","3",0,NA,NA,NA
"10","0",0,NA,NA,NA
