"subjID","partner_type","block","mean","sd","sem","n"
"1","same","1",1118.31818181818,355.738585984767,75.8437213672843,22
"1","same","2",1023.09523809524,277.269887431345,60.5052498612391,21
"1","different","1",1907.46153846154,2109.66867917629,585.116815154654,13
"1","different","2",1210.58333333333,388.112790150992,112.038511934806,12
"2","same","1",1777.38461538462,721.333547087508,141.465147400319,26
"2","same","2",1862.21739130435,1702.60733092518,355.018169977143,23
"2","different","1",2203.27272727273,1584.24481579194,337.762129609504,22
"2","different","2",1429.61904761905,638.58393936823,139.350439987524,21
"3","same","1",1383.78260869565,395.261818467633,82.4177864769123,23
"3","same","2",1232,362.722435503225,74.0404071035402,24
"3","different","1",1321.5,371.027597707865,75.735691239575,24
"3","different","2",1348.54166666667,543.111324897469,110.862134960478,24
"4","same","1",1175.33333333333,221.889438858462,42.7026424184227,27
"4","same","2",1024.07407407407,188.579492711231,36.2921402934907,27
"4","different","1",1954.54166666667,1754.36028175184,358.107292941446,24
"4","different","2",1271.16666666667,449.933586081388,91.8423086700011,24
"5","same","1",1853.18181818182,1005.55502969699,214.385052666386,22
"5","same","2",1534.18181818182,478.597219696582,102.037270085115,22
"5","different","1",3973.16666666667,3802.58316108533,1097.71120583428,12
"5","different","2",2155.57142857143,1668.78761677156,446.002250946443,14
"6","same","1",1848.4,672.026659872172,150.269729416631,20
"6","same","2",1454.63636363636,756.124677641543,161.206322927332,22
"6","different","1",2346.36842105263,1207.53680461629,277.02794220676,19
"6","different","2",1574.47619047619,1140.96667870046,248.979341455582,21
"7","same","1",1372.05,329.327780246528,73.6399303510348,20
"7","same","2",1434.5,577.805744399335,117.944103685614,24
"7","different","1",1488.31818181818,502.711920379629,107.178541545442,22
"7","different","2",1455.34615384615,749.770201718243,147.042034202759,26
"8","same","1",1414.22727272727,676.033384060015,144.130801761903,22
"8","same","2",1201.65217391304,272.42390241808,56.8043103878477,23
"8","different","1",1987.70588235294,751.809131753689,182.340497677904,17
"8","different","2",1445.21428571429,533.22259438703,142.509732791643,14
"9","same","1",1498.68181818182,422.251040920495,90.0242244061517,22
"9","same","2",1204.9,192.570670554721,43.0601109833072,20
"9","different","1",1552,358.714156611983,95.8703909876864,14
"9","different","2",1375.83333333333,221.44399105975,52.1948492437875,18
"10","same","1",2154.77777777778,1161.01515685388,387.005052284627,9
"10","same","2",1695.625,515.559744355589,128.889936088897,16
"10","different","1",1773.5,862.504584274621,192.861888134325,20
"10","different","2",1469.68421052632,718.869023198677,164.919864513938,19
"11","same","1",1448.47826086957,518.290710769125,108.071083867249,23
"11","same","2",1244.08,376.916869702945,75.383373940589,25
"11","different","1",1507.95833333333,621.483672118701,126.859823346832,24
"11","different","2",1219.86956521739,398.472344694291,83.0872274718788,23
"12","same","1",1502.85185185185,456.148651858791,87.785848980386,27
"12","same","2",1167.81481481481,367.540373191743,70.7331778001028,27
"12","different","1",2291.23076923077,2311.03959823612,453.23215415737,26
"12","different","2",1349.39130434783,500.513530752569,104.36428559251,23
"13","same","1",1671.95238095238,306.843685969009,66.9587817843925,21
"13","same","2",1405.13636363636,337.689952958338,71.99573987681,22
"13","different","1",1668.64285714286,425.483183640011,113.715164072482,14
"13","different","2",1593.05263157895,528.524831087455,121.251911992743,19
"14","same","1",1966.04,750.832953015072,150.166590603014,25
"14","same","2",1631.19230769231,921.535198209196,180.727921466588,26
"14","different","1",3214.90909090909,1452.95921055357,309.771944525504,22
"14","different","2",1665.09523809524,810.619263573344,176.891625481629,21
"16","same","1",1219.8125,438.39528871404,109.59882217851,16
"16","same","2",1302.0625,441.768939416674,110.442234854169,16
"16","different","1",2284.76470588235,1131.40568152032,274.40618413719,17
"16","different","2",1300.5,412.584303739621,110.267793411024,14
"17","same","1",1795.95454545455,1416.14992740286,301.924178989235,22
"17","same","2",1215.29166666667,302.123855852798,61.6707738301277,24
"17","different","1",1931.47619047619,1125.2109410705,245.54115763086,21
"17","different","2",1603.05263157895,477.461397355757,109.537156869235,19
"18","same","1",2291.66666666667,2268.78596022924,495.089685638266,21
"18","same","2",1642.47619047619,796.062096764293,173.714991252744,21
"18","different","1",2339.58823529412,2018.88041556526,489.650423462731,17
"18","different","2",1367.94736842105,566.63965363891,129.996051979731,19
"19","same","1",1826.25,724.433272144146,161.988204167691,20
"19","same","2",1527,401.381561478273,89.751645638043,20
"19","different","1",1720.31818181818,472.055524010595,100.642575878682,22
"19","different","2",1385.13636363636,295.243611350508,62.9461494393458,22
"20","same","1",1578,560.495743303078,114.410714507877,24
"20","same","2",1538,691.731299332472,147.47760854328,22
"20","different","1",1854.18181818182,1027.72349609006,219.111385581894,22
"20","different","2",1560.81818181818,694.353871380652,148.036742782646,22
"21","same","1",1521.08333333333,463.134680070558,94.5369706966667,24
"21","same","2",1350,470.638541094582,98.1349196290132,23
"21","different","1",2531.45,1432.02956728517,320.211545823925,20
"21","different","2",1650.6,519.614389990995,134.163858592323,15
"23","same","1",1748.8,763.239259123027,152.647851824605,25
"23","same","2",1472.84,549.750449446535,109.950089889307,25
"23","different","1",2114.04347826087,1338.16456652933,279.026600501802,23
"23","different","2",1262.92,343.366655340905,68.6733310681811,25
"24","same","1",1300.76,611.419065235402,122.28381304708,25
"24","same","2",1256.72,936.117448115709,187.223489623142,25
